Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PB7","OffPage","MCU","2","SCHEMATIC1","U34.59","112","328","5C","P[7]"
"PB7","OffPage","OFFPAGE","3","SCHEMATIC1","","586","190","2C","P[2,7]"
"BOOT0","OffPage","MCU","2","SCHEMATIC1","R234.1,U34.60","522","316","3C","P[2]"
"BOOT0","OffPage","MCU","2","SCHEMATIC1","R234.1,U34.60","112","68","5D","P[2]"
"PB6","OffPage","MCU","2","SCHEMATIC1","U34.58","112","318","5C","P[7]"
"PB6","OffPage","OFFPAGE","3","SCHEMATIC1","","586","172","2C","P[2,7]"
"I2C1_SCL","OffPage","ADC_16BIT","7","SCHEMATIC1","R2.2,U25.10","516","186","3C","P[2]"
"I2C1_SCL","OffPage","OFFPAGE","3","SCHEMATIC1","","606","172","2C","P[2,7]"
"ADC_SCL","OffPage","ADC_16BIT","7","SCHEMATIC1","R2.2,U25.10","254","360","4B","P[2,7]"
"ADC_SCL","OffPage","ADC_16BIT","7","SCHEMATIC1","R2.2,U25.10","466","186","3C","P[2,7]"
"USART2_TX","OffPage","RS485","9","SCHEMATIC1","J12.02","554","420","3B","P[2]"
"USART2_TX","OffPage","OFFPAGE","3","SCHEMATIC1","","234","366","4B","P[2,9]"
"PA2","OffPage","MCU","2","SCHEMATIC1","U34.16","112","118","5D","P[9]"
"PA2","OffPage","OFFPAGE","3","SCHEMATIC1","","202","366","4B","P[2,9]"
"AIN3","OffPage","TERMINAL","12","SCHEMATIC1","J26.4","556","158","3D","P[7]"
"AIN3","OffPage","ADC_16BIT","7","SCHEMATIC1","U25.7","414","350","3B","P[12]"
"AINO","OffPage","TERMINAL","12","SCHEMATIC1","J26.1","556","188","3C","P[7]"
"AINO","OffPage","ADC_16BIT","7","SCHEMATIC1","U25.4","414","320","3C","P[12]"
"AIN1","OffPage","TERMINAL","12","SCHEMATIC1","J26.2","556","178","3C","P[7]"
"AIN1","OffPage","ADC_16BIT","7","SCHEMATIC1","U25.5","414","330","3C","P[12]"
"ETHERNET_MOSI","OffPage","ETHERNET","8","SCHEMATIC1","U14.35","336","10","4D","P[2,8]"
"ETHERNET_MOSI","OffPage","ETHERNET","8","SCHEMATIC1","U14.35","134","208","5C","P[2,8]"
"SPI2_MOSI","OffPage","ETHERNET","8","SCHEMATIC1","U14.35","360","10","4D","P[2]"
"SPI2_MOSI","OffPage","OFFPAGE","3","SCHEMATIC1","","236","348","4C","P[2,3,8]"
"SPI2_MOSI","OffPage","OFFPAGE","3","SCHEMATIC1","","602","244","2C","P[2,3,8]"
"PB15","OffPage","MCU","2","SCHEMATIC1","U34.36","112","408","5B","P[8]"
"PB15","OffPage","OFFPAGE","3","SCHEMATIC1","","204","348","4C","P[2,3,8]"
"PB15","OffPage","OFFPAGE","3","SCHEMATIC1","","582","244","2C","P[2,3,8]"
"AIN2","OffPage","TERMINAL","12","SCHEMATIC1","J26.3","556","168","3D","P[7]"
"AIN2","OffPage","ADC_16BIT","7","SCHEMATIC1","U25.6","414","340","3C","P[12]"
"PB13","OffPage","MCU","2","SCHEMATIC1","U34.34","112","388","5B","P[8]"
"PB13","OffPage","OFFPAGE","3","SCHEMATIC1","","584","206","2C","P[2,8]"
"SPI2_SCK","OffPage","ETHERNET","8","SCHEMATIC1","U14.33","364","48","4D","P[2]"
"SPI2_SCK","OffPage","OFFPAGE","3","SCHEMATIC1","","604","206","2C","P[2,8]"
"ETHERNET_SCK","OffPage","ETHERNET","8","SCHEMATIC1","U14.33","134","228","5C","P[2,8]"
"ETHERNET_SCK","OffPage","ETHERNET","8","SCHEMATIC1","U14.33","336","48","4D","P[2,8]"
"PB5","OffPage","MCU","2","SCHEMATIC1","U34.57","112","308","5C","P[7]"
"PB5","OffPage","ADC_16BIT","7","SCHEMATIC1","R1.2,U25.1","516","168","3D","P[2]"
"ADC_ADDR","OffPage","ADC_16BIT","7","SCHEMATIC1","R1.2,U25.1","466","168","3D","P[2,7]"
"ADC_ADDR","OffPage","ADC_16BIT","7","SCHEMATIC1","R1.2,U25.1","256","310","4C","P[2,7]"
"USART1_RX","OffPage","TERMINAL","12","SCHEMATIC1","J62.3","762","168","2D","P[2]"
"USART1_RX","OffPage","OFFPAGE","3","SCHEMATIC1","","234","424","4B","P[2,12]"
"PA10","OffPage","MCU","2","SCHEMATIC1","U34.43","112","198","5C","P[12]"
"PA10","OffPage","OFFPAGE","3","SCHEMATIC1","","202","424","4B","P[2,12]"
"GND","OffPage","MCU","2","SCHEMATIC1","C155.1,C156.1,C160.1,C161.1,C162.1,C163.1,C164.1,J11.01,J31.01,R234.2,S16.3,S16.4,U34.18,U34.31,U34.47,U34.63","312","558","4A","P[2]"
"GND","OffPage","MCU","2","SCHEMATIC1","C155.1,C156.1,C160.1,C161.1,C162.1,C163.1,C164.1,J11.01,J31.01,R234.2,S16.3,S16.4,U34.18,U34.31,U34.47,U34.63","312","588","4A","P[2]"
"GND","OffPage","MCU","2","SCHEMATIC1","C155.1,C156.1,C160.1,C161.1,C162.1,C163.1,C164.1,J11.01,J31.01,R234.2,S16.3,S16.4,U34.18,U34.31,U34.47,U34.63","504","152","3D","P[2]"
"GND","OffPage","MCU","2","SCHEMATIC1","C155.1,C156.1,C160.1,C161.1,C162.1,C163.1,C164.1,J11.01,J31.01,R234.2,S16.3,S16.4,U34.18,U34.31,U34.47,U34.63","312","568","4A","P[2]"
"GND","OffPage","MCU","2","SCHEMATIC1","C155.1,C156.1,C160.1,C161.1,C162.1,C163.1,C164.1,J11.01,J31.01,R234.2,S16.3,S16.4,U34.18,U34.31,U34.47,U34.63","312","578","4A","P[2]"
"VREF-","OffPage","MCU","2","SCHEMATIC1","J11.02,U34.12","312","548","4A","P[2]"
"VREF-","OffPage","MCU","2","SCHEMATIC1","J11.02,U34.12","512","276","3C","P[2]"
"NRST","OffPage","MCU","2","SCHEMATIC1","C160.2,R233.1,S16.1,S16.2,U34.7","112","88","5D","P[2]"
"NRST","OffPage","MCU","2","SCHEMATIC1","C160.2,R233.1,S16.1,S16.2,U34.7","846","394","1B","P[2]"
"ETHERNET_RTSn","OffPage","ETHERNET","8","SCHEMATIC1","R67.1,U14.37","134","114","5D","P[2,8]"
"ETHERNET_RTSn","OffPage","ETHERNET","8","SCHEMATIC1","R67.1,U14.37","122","50","5D","P[2,8]"
"PB4","OffPage","ETHERNET","8","SCHEMATIC1","R67.1,U14.37","142","50","5D","P[2]"
"PB4","OffPage","MCU","2","SCHEMATIC1","U34.56","112","298","5C","P[8]"
"PB14","OffPage","MCU","2","SCHEMATIC1","U34.35","112","398","5B","P[8]"
"PB14","OffPage","OFFPAGE","3","SCHEMATIC1","","204","330","4C","P[2,3,8]"
"PB14","OffPage","OFFPAGE","3","SCHEMATIC1","","584","224","2C","P[2,3,8]"
"ETHERNET_MISO","OffPage","ETHERNET","8","SCHEMATIC1","U14.34","134","218","5C","P[2,8]"
